timestamp,question,answer,feedback_type,user_id
2025-08-12 11:28:15,신규급여신청하는방법,"신규 급여 신청 방법:신청 기간:• 2025년 8월 18일(월)부터 8월 22일(금)까지입니다.신청 방법:• 온라인 신청: 노인장기요양보험 홈페이지를 통해 신청 가능합니다.• 등기우편 제출: USB에 필요한 서류를 담아 등기우편으로 제출하실 수 있습니다. 단, 마감일(2025년 8월 22일)까지 등기 발송된 것만 인정됩니다.서류 심사:• 8월부터 9월까지 진행됩니다.• 유통 및 제조(수입) 실적, 규격 충족 입증서류 등의 제출서류의 적정성을 검토합니다.• 심사 결과 보완 요청을 받은 경우, 통보일로부터 7일 이내에 보완하여 제출해야 합니다. 최종 서류가 '적합'으로 판정된 제품만 제품 심사를 받게 됩니다.가격 서류 심사:• 8월부터 11월까지 진행됩니다.• 재료비, 매입원가 등 가격 산출 내역을 검토하고 제조 공정을 확인합니다.• 심사 결과 보완 요청을 받은 경우, 통보일로부터 7일 이내에 보완하여 제출해야 합니다.제품 심사:• 10월부터 11월까지 진행됩니다.⚠️  주의사항: 허위 자료 제출 시 심사 절차가 즉시 중단되며, '부적합' 처리됩니다. 또한, 복지용구 신규 급여 결정 신청이 2회 제한될 수 있습니다.📞  문의: 더 자세한 사항은 국민건강보험공단에 문의해 주세요.",dislike,user_1xtoehtxl_1754965639903
2025-08-12 11:28:23,신규급여결정신청,"신규급여결정신청 안내신청 기간:• 신규 급여 결정 신청은 신청 기간 내에만 가능합니다. 신청 기간을 놓치지 않도록 주의해 주세요.신청 방법:• 신청서를 작성하고 파일을 첨부할 때는 지정된 형식(파일 용량, 확장자 등)을 준수해야 합니다.• 자세한 사항은 온라인 신청 절차 안내서를 참고하시기 바랍니다.신청 심사:• 신규 신청 품목(고시 외)은 위원회 심의 결과에 따라 급여 인정 여부가 결정됩니다.1️⃣ 품목과 제품 모두 급여 인정되는 경우: 동시 급여 등재2️⃣ 품목이 급여 불인정되는 경우: 해당 제품도 급여 불인정주의사항:⚠️ 허위 자료 제출 시 심사 절차가 즉시 중단되며, '부적합' 처리됩니다.⚠️ 복지용구 신규 급여 결정 신청이 2회 제한됩니다.⚠️ 사문서 위조에 따른 소송이 제기될 수 있으니, 서류 제출 전 반드시 원가 요소 등을 올바르게 작성했는지 확인해 주세요.결과 통보:• 신청일로부터 120일 이내에 급여 결정 신청 결과가 통보됩니다.문의:📞 자세한 사항은 국민건강보험공단에 문의해 주세요.이 안내가 도움이 되셨기를 바랍니다. 추가로 궁금한 점이 있으시면 언제든지 문의해 주세요.",like,user_1xtoehtxl_1754965639903
2025-08-12 14:34:21,복지용구 급여유효기간 갱신 실시 일정,"복지용구 급여유효기간 갱신 실시 일정신청 대상:• 2025년 10월 16일에 급여유효기간이 만료 예정인 복지용구 25개 제품• 2025년 12월 31일에 급여유효기간이 만료 예정인 복지용구 55개 제품갱신 대상 제품 확인 방법:• 갱신 대상 제품의 상세 현황은 별첨을 참조해 주세요.• 공급업체 업무 포털에서 급여유효기간 확인 방법을 참고하실 수 있습니다.주의사항:⚠️ 공급업체는 급여유효기간 갱신 만료일 이후에 추가 유통을 희망하는 경우, 해당 제품의 갱신 접수 기간을 반드시 확인하여 접수 기간 내에 접수해 주시기 바랍니다.문의:📞 자세한 사항은 국민건강보험공단에 문의해 주세요.",dislike,user_nmiyhkrnf_1754976760714
2025-08-12 14:34:21,복지용구 급여유효기간 갱신 실시 일정,"복지용구 급여유효기간 갱신 실시 일정신청 대상:• 2025년 10월 16일에 급여유효기간이 만료 예정인 복지용구 25개 제품• 2025년 12월 31일에 급여유효기간이 만료 예정인 복지용구 55개 제품갱신 대상 제품 확인 방법:• 갱신 대상 제품의 상세 현황은 별첨을 참조해 주세요.• 공급업체 업무 포털에서 급여유효기간 확인 방법을 참고하실 수 있습니다.주의사항:⚠️ 공급업체는 급여유효기간 갱신 만료일 이후에 추가 유통을 희망하는 경우, 해당 제품의 갱신 접수 기간을 반드시 확인하여 접수 기간 내에 접수해 주시기 바랍니다.문의:📞 자세한 사항은 국민건강보험공단에 문의해 주세요.",like,user_nmiyhkrnf_1754976760714
2025-08-12 14:35:26,복지용구 급여유효기간 갱신 알려줘ㅗ,"복지용구 급여유효기간 갱신 안내복지용구 급여유효기간 갱신이란:복지용구 제품의 지속적인 관리와 사용을 위해 2017년부터 도입된 제도입니다. 이 제도를 통해 복지용구의 사용 가능 기간을 정하고, 그 기간이 만료되기 전에 갱신 신청을 통해 계속 사용할 수 있도록 합니다.갱신 신청 대상:• 2025년 12월 31일에 급여유효기간이 만료 예정인 복지용구 55개 제품• 2025년 10월 16일에 급여유효기간이 만료 예정인 복지용구 25개 제품갱신 신청 방법:1️⃣ 공급업체 업무 포털에서 급여유효기간을 확인합니다.2️⃣ 갱신 접수 기간 내에 반드시 신청을 완료해야 합니다.3️⃣ 갱신 신청이 완료되면, 복지용구를 계속 사용할 수 있습니다.주의사항:⚠️ 갱신 접수 기간을 놓치면, 해당 복지용구의 추가 유통이 어려울 수 있습니다.📞  문의: 자세한 사항은 국민건강보험공단에 문의해 주세요.복지용구의 사용에 불편함이 없도록, 갱신 신청을 제때에 하시길 바랍니다. 궁금한 점이 있으면 언제든지 문의해 주세요.",dislike,user_nmiyhkrnf_1754976760714
2025-08-12 14:35:30,복지용구 급여유효기간 갱신 기간알려줘,"복지용구 급여유효기간 갱신 안내갱신 신청 대상:• 2025년 10월 16일에 급여유효기간이 만료 예정인 복지용구 25개 제품• 2025년 12월 31일에 급여유효기간이 만료 예정인 복지용구 55개 제품갱신 신청 방법:• 복지용구의 급여유효기간이 만료되기 전에 공급업체 업무 포털에서 갱신 신청을 하셔야 합니다.• 갱신 대상 제품의 상세 현황은 별첨을 참조해 주세요.주의사항:⚠️  공급업체는 갱신 접수 기간을 반드시 확인하여 접수 기간 내에 신청해야 합니다.⚠️  갱신 신청을 하지 않으면 만료일 이후 추가 유통이 불가능할 수 있습니다.문의:📞  국민건강보험공단에 문의하셔서 자세한 정보를 확인해 주세요.복지용구의 급여유효기간 갱신은 어르신들의 편안한 생활을 위해 매우 중요하니, 반드시 기간 내에 신청하시기 바랍니다.",like,user_nmiyhkrnf_1754976760714
2025-08-12 14:41:39,기간은?,"복지용구 대여 및 구매 기간:복지용구를 대여하거나 구매하실 때는 기간에 대한 이해가 중요합니다. 아래 내용을 참고해 주세요.대여 기간:• 최대 5년까지 대여 가능합니다. 대여 기간은 개인의 필요에 따라 조정될 수 있습니다.• 대여 기간이 끝나기 전에 연장이 필요하신 경우, 국민건강보험공단에 문의하셔서 연장 가능 여부를 확인해 주세요.구매 기간:• 복지용구는 필요에 따라 언제든지 구매하실 수 있습니다.• 구매 후에는 반환이 불가하니, 신중하게 결정해 주세요.⚠️  주의사항: 대여와 구매 시 본인부담금이 발생할 수 있으며, 소득 수준에 따라 달라질 수 있습니다.📞  문의: 자세한 사항은 국민건강보험공단에 문의해 주세요.",dislike,user_erfb9r9o1_1754977110923
2025-08-12 14:41:49,복지용구 급여유효기간 갱신 실시일정,"복지용구 급여유효기간 갱신 실시일정신청대상:• 2025년 12월 31일에 급여유효기간이 만료 예정인 55개 복지용구 제품• 2025년 10월 16일에 급여유효기간이 만료 예정인 25개 복지용구 제품신청방법 및 기간:• 신청방법: 공급업체가 신청일자에 맞춰 전산처리• 신청경로: 공급업체 로그인 후 [복지용구신청] → [복지용구 급여유효기간 갱신신청 등록]유의사항:⚠️  주의사항: 급여유효기간 만료일 90일 전부터 60일 전까지 관련 서류를 첨부하여 공단에 갱신 신청을 해야 합니다.📞  문의: 국민건강보험공단에 확인해 주세요.복지용구의 급여유효기간이 만료되면 추가 유통이 불가하니, 반드시 기간 내에 갱신 신청을 완료하시기 바랍니다.",dislike,user_erfb9r9o1_1754977110923
2025-08-12 14:47:48,복지용구 급여유효기간 갱신 실시일정,"복지용구 급여유효기간 갱신 실시일정신청대상:• 2025.12.31. 급여유효기간 만료 예정인 복지용구 55개 제품• 2025.10.16. 급여유효기간 만료 예정인 복지용구 25개 제품신청방법 및 기간:• 2025년 제4차 갱신 신청:  - 신청기간: 2025.10.1. ~ 2025.10.31. (1개월)  - 신청방법: 공급업체가 전산처리 경로를 통해 신청  - 전산처리 경로: 공급업체 로그인 / 복지용구신청 / 복지용구 급여유효기간 갱신 신청 등록  - ⚠️  주의사항: 접수기간 초과 시 전산입력이 불가하므로 반드시 기간 내에 전산등록 하셔야 합니다.• 2025년 제3차 갱신 신청:  - 신청기간: 2025.7.18. ~ 2025.8.17. (1개월)  - 신청방법: 공급업체가 전산처리 경로를 통해 신청  - 전산처리 경로: 공급업체 로그인 / 복지용구신청 / 복지용구 급여유효기간 갱신 신청 등록  - ⚠️  주의사항: 접수기간 초과 시 전산입력이 불가하므로 반드시 기간 내에 전산등록 하셔야 합니다.문의처:📞  제4차 갱신 문의: 요양자원실 건강보험고령친화연구센터 연구4팀 033-736-1899📞  제3차 갱신 문의: 요양자원실 건강보험고령친화연구센터 연구3팀 033-736-1887추가 정보:• 전산사용 매뉴얼: 노인장기요양보험 홈페이지 / 알림, 자료실 / 복지용구 안내 / 공지사항에서 확인 가능• 담당자 이메일: 제3차 갱신 - 220133@nhis.or.kr, 제4차 갱신 - kskang@nhis.or.kr복지용구의 급여유효기간 갱신은 어르신들의 일상생활과 건강을 지원하는 중요한 절차입니다. 반드시 정해진 기간 내에 신청을 완료하시기 바랍니다.",like,user_7zreuxj1s_1754977626379
2025-08-12 14:58:45,복지용구 급여유효기간 갱신 실시일정,복지용구 급여유효기간 갱신 실시일정신청대상:• 2025.12.31. 급여유효기간 만료 예정인 복지용구 55개 제품• 2025.10.16. 급여유효기간 만료 예정인 복지용구 25개 제품신청방법 및 기간:• 2025년 제4차 갱신 신청:  - 방법: 공급업체가 전산처리  - 기간: 2025.10.1. ~ 2025.10.31. (1개월)  - ⚠️  주의사항: 접수기간 초과 시 전산입력이 불가하므로 반드시 기간 내에 전산등록 하셔야 합니다.• 2025년 제3차 갱신 신청:  - 방법: 공급업체가 전산처리  - 기간: 2025.7.18. ~ 2025.8.17. (1개월)  - ⚠️  주의사항: 접수기간 초과 시 전산입력이 불가하므로 반드시 기간 내에 전산등록 하셔야 합니다.문의처:📞  제4차 갱신 문의: 요양자원실 건강보험고령친화연구센터 연구4팀 033-736-1899📞  제3차 갱신 문의: 요양자원실 건강보험고령친화연구센터 연구3팀 033-736-1887추가 정보:• 전산사용 매뉴얼: 노인장기요양보험 홈페이지의 공지사항에서 확인 가능• 배회감지기(GPS형) 품목: 별도 처리 사항 없음복지용구의 급여유효기간 갱신은 어르신들의 일상생활과 건강을 지원하는 중요한 절차입니다. 반드시 정해진 기간 내에 신청을 완료하시기 바랍니다.,like,user_cus02iwyu_1754978284474
