timestamp,question,answer,status,category
2025-08-08 12:03:48,복지용구 계약등록 방법,"**복지용구 계약등록 방법**

**계약 대상 조회:**

• 수급자 또는 가족이 **복지용구사업소**를 방문합니다.

• 사업소에서는 **“계약대상조회”** 버튼을 클릭하여 **“복지용구계약대상자조회”** 화면에 수급자의 성명 및 주민번호를 입력하고 확인 버튼을 클릭합니다.

**수급자 정보 확인:**

• 수급자인 경우, **“수급자정보”**, **“인정유효기간과 적용기간”**, **“계약이력”**이 화면에 표시됩니다.

• 수급자가 아닌 경우, **“장기요양수급자가 아닙니다”**라는 메시지가 나타납니다.

**계약 내역 등록:**

• 수급자와 체결된 계약 내역을 등록할 때는 **“계약자(대리인) 정보”**를 입력해야 합니다.

**기초생활수급자 정보 입력:**

• 수급자가 기초생활수급자 또는 의료급여수급자인 경우, **“입소이용의뢰서정보”**란에 시, 군, 구에서 통보받은 입소·이용의뢰서 정보를 입력합니다.

**대여 계약 입력:**

• 대여 계약을 입력할 때는 **“대여계약입력”** 버튼을 클릭하여, 복지용구사업소에서 등록한 대여 제품 중 보관 중인 제품 내역을 확인할 수 있습니다.

⚠️ **주의사항:** 계약 등록 시 입력한 정보가 정확한지 반드시 확인해 주세요.

📞 **문의:** 더 자세한 사항은 국민건강보험공단에 문의해 주세요.",success,기타
2025-08-08 12:04:40,대여제품등록,"**대여제품 등록 방법:**

**제품 코드 입력:**

• 바코드 스캐너가 없는 경우, **코드 조회기**를 사용하여 제품 코드를 입력할 수 있습니다.

• 코드 조회 버튼을 클릭하면, 제품 분류 기호를 선택할 수 있는 코드 조회기가 팝업됩니다.

**제품 등록 절차:**

1️⃣ 제품 분류 기호를 선택하면, 대여 제품 등록 화면의 제품 분류 기호 입력 칸에 해당 기호가 자동으로 입력됩니다.

2️⃣ 확인한 제품 코드를 대여 제품으로 등록하려면, **등록 버튼**을 클릭하면 됩니다.

**등록 결과 조회:**

• 대여 제품 현황 조회 화면으로 연결되어, 등록 결과를 확인할 수 있습니다.

⚠️ **주의사항:** 대여 중인 제품은 등록 취소가 불가능합니다. 신규로 등록한 제품의 경우, 취소 사유에 ""신규 취소""만 표시됩니다.

📞 **문의:** 더 자세한 사항은 국민건강보험공단에 문의해 주세요.",success,품목
2025-08-08 12:05:13,바코드 스캐너가있ㅇ,"**바코드 스캐너 사용법 안내**

**바코드 스캐너 사용:**

• **바코드 스캐너**를 사용하여 **대여 제품**을 등록할 수 있습니다.

• 스캐너를 사용하기 위해서는 **바코드 스캐너 사용 버튼**을 클릭한 후, 스캐너를 사용해야 합니다.

• 스캔한 **제품 코드**는 자동으로 입력됩니다.

**제품 코드 확인:**

• 입력한 **제품 코드**의 대여 제품 등록 적정성을 확인할 수 있습니다.

• 동일한 바코드를 스캔했을 경우, 우측에 메시지가 표시됩니다.

⚠️ **주의사항:** 바코드 스캐너가 없을 경우, 코드 조회기를 사용하여 제품 코드를 입력할 수 있습니다.

📞 **문의:** 더 자세한 사항은 국민건강보험공단에 문의해 주세요.",success,기타
2025-08-08 12:06:07,대여제품등록 방법,"**대여제품 등록 방법**

**대여제품 등록 절차:**

1️⃣ **바코드 스캐너 사용:**

• 대여 제품으로 등록할 수 있는 바코드의 경우, **품목명**, **제조사**, **제품명**이 표시됩니다.

• 확인한 제품 코드를 대여 제품으로 등록하려면 **등록 버튼**을 클릭하세요.

• 등록이 완료되면, 대여 제품 현황 조회 화면으로 연결되어 **등록 결과**를 확인할 수 있습니다.

2️⃣ **바코드 스캐너가 없는 경우:**

• **코드 조회기**를 사용하여 제품 코드를 입력할 수 있습니다.

• 코드 조회 버튼을 클릭하면, 제품 분류 기호를 선택할 수 있는 코드 조회기가 팝업됩니다.

• 제품 분류 기호를 선택하면, 대여 제품 등록 화면의 제품 분류 기호 입력 칸에 해당 기호가 자동 입력됩니다.

⚠️ **주의사항:** 대여 제품 등록 시, 제품의 **연한도액**을 초과하지 않도록 주의하세요. 연한도액을 초과할 경우, 전액 본인 부담이 될 수 있습니다.

📞 **문의:** 더 자세한 사항은 국민건강보험공단에 문의해 주세요.",success,품목
2025-08-08 12:06:25,대여제품등록 방법,"**대여제품 등록 방법**

**대여제품 등록 절차:**

1️⃣ **바코드 스캐너 사용:**

• 대여 제품으로 등록할 수 있는 바코드의 경우, **품목명**, **제조사**, **제품명**이 표시됩니다.

• 확인한 제품 코드를 대여 제품으로 등록하려면 **등록 버튼**을 클릭하세요.

• 등록이 완료되면, 대여 제품 현황 조회 화면으로 연결되어 **등록 결과를 확인**할 수 있습니다.

2️⃣ **바코드 스캐너가 없는 경우:**

• **코드 조회기**를 사용하여 제품 코드를 입력할 수 있습니다.

• 코드 조회 버튼을 클릭하면, 제품 분류 기호를 선택할 수 있는 코드 조회기가 팝업됩니다.

• 제품 분류 기호를 선택하면, 대여 제품 등록 화면의 제품 분류 기호 입력 칸에 해당 기호가 자동 입력됩니다.

⚠️ **주의사항:** 대여 제품 등록 시, 연한도액을 초과하지 않도록 주의하세요. 연한도액을 초과할 경우, 대여 기간을 조정해야 할 수 있습니다.

📞 **문의:** 더 자세한 사항은 국민건강보험공단에 문의해 주세요.",success,품목
2025-08-11 16:24:53,2025년 상반기 복지용구 신규 급여결정신청 기간,"**복지용구 신규 급여결정신청 기간 안내**

**신청 기간:**

• 2025년 상반기 복지용구 신규 급여결정신청 기간은 **2025년 1월 1일**부터 **2025년 6월 30일**까지입니다.

**주의사항:**

⚠️ 신청 기간 내에 신청하지 않으면 급여결정이 지연될 수 있으니, 반드시 기간 내에 신청해 주세요.

**문의:**

📞 자세한 사항은 국민건강보험공단에 문의해 주세요. 

신청 기간과 관련된 정보는 변경될 수 있으니, **반드시 확인해야 할 사항**입니다. 공단에 문의하여 최신 정보를 확인하시기 바랍니다.",success,기타
2025-08-11 16:38:20,2025년 상반기 복지용구 신규 급여결정신청 공고 신청기간이 언제야?,"**신청기간:**

2025년 상반기 복지용구 신규 급여결정신청의 접수기간은 **2025년 8월 18일(월)**부터 **8월 22일(금)**까지입니다.

⚠️ **주의사항:** 신청 기간을 놓치지 않도록 주의해 주세요.

📞 **문의:** 자세한 사항은 국민건강보험공단에 문의해 주세요.",success,기타
2025-08-11 16:39:46,제출방법은?,"**제출방법:**

• **USB 제출:** 원본 종이 서류는 필요하지 않으며, **USB 1개**에 제품 및 가격 관련 서류를 폴더별로 구분하여 제출해야 합니다.

• **폴더 구분 예시:** 
  - 업체명: ‘□□□’
  - 제품명: ‘△△△’일 경우, ‘□□□’ 폴더를 생성한 후, ‘△△△(품목명)’ 폴더 안에 △△△(제품)과 △△△(가격) 폴더로 구분합니다.
  - 신청하는 제품이 **2개 이상**일 경우, 각각의 제품별로 폴더를 추가해야 합니다.

• **업체명 표기:** USB 케이스에 업체명을 표기해야 하며, 업체명이 누락된 USB로 제출할 경우 신청 업체명 확인이 불가하여 접수가 불가할 수 있습니다. 이에 따른 책임은 신청 업체에 있습니다.

⚠️ **주의사항:** 제출 서류 목록 순서대로 자료를 폴더화하고 관련 파일을 구분하여 제출해야 합니다. 

확실하지 않은 부분은 국민건강보험공단에 문의해 주세요.",success,신청방법
2025-08-11 16:40:17,신규급여결정신청진행절차는?,"**신규 급여결정신청 진행절차:**

**신청 및 접수:**

• **기간:** 2025년 8월 18일(월)부터 8월 22일(금)까지

• **방법:** 온라인(노인장기요양보험 홈페이지) 신청 및 등기우편(USB) 제출

• ⚠️ **주의사항:** 등기우편(USB) 접수는 마감일인 2025년 8월 22일(금)까지 등기 발송된 것만 인정됩니다.

**제품 서류심사:**

• **기간:** 8월부터 9월까지

• **내용:** 유통‧제조(수입) 실적, 규격 충족 입증서류 등 제출서류의 적정성 검토

• **보완 요청:** 심사결과 보완요청을 받은 경우, 통보일로부터 7일 이내 보완‧제출해야 하며, 최종 서류가 '적합'으로 판정된 제품만 제품심사를 실시합니다.

**가격 서류심사:**

• **기간:** 8월부터 11월까지

• **내용:** 재료비, 매입원가 등 가격산출내역 검토 및 제조공정 검토‧확인

• **보완 요청:** 심사결과 보완요청을 받은 경우, 통보일로부터 7일 이내 보완‧제출해야 합니다.

**제품심사:**

• **기간:** 10월부터 11월까지

⚠️ **주의사항:** 모든 절차는 정해진 기간 내에 완료되어야 하며, 서류 제출 시 정확한 정보를 기재해야 합니다. 잘못된 정보 제출 시 불이익이 있을 수 있습니다.

📞 **문의:** 자세한 사항은 국민건강보험공단에 문의해 주세요.",success,기타
2025-08-11 16:43:55,신규급여결정신청진행절차는?,"**신규 급여결정신청 진행절차:**

**신청 및 접수:**

- **기간:** 2025년 8월 18일(월)부터 8월 22일(금)까지
- **방법:** 온라인(노인장기요양보험 홈페이지) 신청 및 등기우편(USB) 제출
- **주의사항:** 등기우편(USB) 접수는 마감일인 2025년 8월 22일(금)까지 등기 발송분만 인정됩니다.

**제품 서류심사 (8~9월):**

- **제출서류:** 유통‧제조(수입) 실적, 규격 충족 입증서류 등
- **검토:** 제출서류의 적정성 검토
- **보완요청:** 심사결과 보완요청을 받은 경우, 통보일로부터 **7일 이내** 보완‧제출해야 하며, 최종 서류가 '적합'으로 판정된 제품만 제품심사를 실시합니다.

**가격 서류심사 (8~11월):**

- **검토내용:** 재료비, 매입원가 등 가격산출내역 및 제조공정 검토‧확인
- **보완요청:** 심사결과 보완요청을 받은 경우, 통보일로부터 **7일 이내** 보완‧제출해야 합니다.

**제품심사 (10~11월):**

- 제품심사는 서류심사에서 '적합' 판정을 받은 제품에 한해 진행됩니다.

⚠️ **주의사항:** 모든 서류는 정확하게 작성하여 제출해야 하며, 허위자료 제출 시 심사절차가 즉시 중단되고 '부적합' 처리될 수 있습니다. 

📞 **문의:** 자세한 사항은 국민건강보험공단에 문의해 주세요.",success,기타
2025-08-11 16:44:41,신규급여결정신청진행절차는?,"**신규 급여결정신청 진행절차:**

1️⃣ **신청 및 접수:**

- **기간:** 2025년 8월 18일(월)부터 8월 22일(금)까지입니다.
- **방법:** 온라인(노인장기요양보험 홈페이지) 신청 및 등기우편(USB) 제출이 가능합니다.
- ⚠️ **주의사항:** 등기우편(USB) 접수는 마감일인 2025년 8월 22일(금)까지 등기 발송된 것만 인정됩니다.

2️⃣ **제품 서류심사 (8~9월):**

- **제출서류:** 유통‧제조(수입) 실적, 규격 충족 입증서류 등
- **검토:** 제출서류의 적정성을 검토합니다.
- **보완요청:** 심사결과 보완요청을 받은 경우, 통보일로부터 7일 이내에 보완‧제출해야 하며, 최종 서류가 '적합'으로 판정된 제품만 제품심사를 실시합니다.

3️⃣ **가격 서류심사 (8~11월):**

- **검토내용:** 재료비, 매입원가 등 가격산출내역 및 제조공정을 검토‧확인합니다.
- **보완요청:** 심사결과 보완요청을 받은 경우, 통보일로부터 7일 이내에 보완‧제출해야 합니다.

4️⃣ **제품심사 (10~11월):**

- **심사대상:** 최종 서류가 '적합'으로 판정된 제품만 심사를 받습니다.

📞 **문의:** 더 자세한 사항은 국민건강보험공단에 문의해 주세요.",success,기타
